Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;257;70.07475152100001;26069.849353944006;3975.0;Split(2788,689,2360,[C(193),C(-193)],MaxDepth(3));-156.89743303550154;-156.63439175124813;NaN
0;258;30.067349924000002;26099.916703868006;3988.0;Split(4707,1315,4695,[C(469),C(-469)],MaxDepth(3));-156.75902943155884;-156.49863594721657;NaN
0;259;72.536740131;26172.453443999006;3996.0;Clone(4412,1349,[{4783:4414}],MaxDepth(3));-156.65593113665489;-156.39818192351765;NaN
0;260;81.161352424;26253.614796423004;4026.0;Split(3098,415,3060,[C(264),C(-264)],MaxDepth(3));-156.1450413919191;-155.88154113786703;NaN
0;261;713.419101949;26967.033898372003;4032.0;Clone(4349,421,[{5412:4351}],MaxDepth(3));-156.06931021275588;-155.8050993363513;NaN
0;262;76.37665855;27043.410556922005;4036.0;Split(5396,397,3530,[C(263),C(-263)],MaxDepth(3));-156.04281481301803;-155.7764681695834;NaN
0;263;66.128459273;27109.539016195005;4040.0;Split(5394,397,3531,[C(263),C(-263)],MaxDepth(3));-156.01750528896147;-155.7485747634316;NaN
0;264;24.53890076;27134.077916955004;4042.0;Clone(3801,434,[{4344:3803}],MaxDepth(3));-155.9835131849243;-155.71451322417678;NaN
0;265;53.866400857;27187.944317812005;4045.0;Split(2652,1489,1800,[C(745),C(-745)],MaxDepth(3));-155.93274618031862;-155.65694856057246;NaN
0;266;32.194921364;27220.139239176006;4048.0;Split(3553,1077,3547,[C(545),C(-545)],MaxDepth(3));-155.882013603058;-155.60944387421063;NaN
0;267;29.203437564;27249.342676740005;4052.0;Clone(3527,409,[{5414:3527}],MaxDepth(3));-155.83130449232564;-155.56130282122203;NaN
0;268;149.996726829;27399.339403569003;4060.0;Split(2685,1307,3371,[C(523),C(-523)],MaxDepth(3));-155.73062457338426;-155.4622335748292;NaN
0;269;352.793619964;27752.133023533002;4093.0;Split(3024,1295,2912,[C(495),C(-495)],MaxDepth(3));-155.20844675538612;-154.950613476435;NaN
0;270;523.403824284;28275.536847817002;4098.0;Split(5490,1305,3366,[C(523),C(-523)],MaxDepth(3));-155.16595420900117;-154.9100295145513;NaN
0;271;29.638101571000004;28305.174949388;4103.0;Split(5510,1289,3630,[C(467),C(-467)],MaxDepth(3));-155.13714308791663;-154.88014334316514;NaN
0;272;28.209894639;28333.384844027;4108.0;Split(5518,1281,3782,[C(465),C(-465)],MaxDepth(3));-155.11451689349857;-154.8569043776556;NaN
0;273;29.103909709000003;28362.488753736;4110.0;Clone(3777,1286,[{5513:3779}],MaxDepth(3));-155.07120681752482;-154.80732819194785;NaN
0;274;33.409993055;28395.898746791;4136.0;Split(3037,1007,2938,[C(595),C(-595)],MaxDepth(3));-154.60553428475046;-154.317369531668;NaN
0;275;331.173884379;28727.072631170002;4138.0;Clone(4580,1010,[{5556:4582}],MaxDepth(3));-154.5311835526127;-154.23836784562442;NaN
